Datetime,PJME_MW,log_electric_consumption
2002-01-01,714857.0,13.479837801673478
2002-01-02,822277.0,13.619832600240679
2002-01-03,828285.0,13.62711257704172
2002-01-04,809171.0,13.603765545768978
2002-01-05,729723.0,13.500420289059631
2002-01-06,727766.0,13.497734846938158
2002-01-07,800012.0,13.592382006537566
2002-01-08,824710.0,13.62278708836937
2002-01-09,810628.0,13.605564534894109
2002-01-10,755317.0,13.534892807661116
2002-01-11,742741.0,13.518102676119163
2002-01-12,683205.0,13.434550239930887
2002-01-13,673268.0,13.419898746298621
2002-01-14,758471.0,13.539059843684504
2002-01-15,749371.0,13.526989466968185
2002-01-16,768234.0,13.551849653222
2002-01-17,765151.0,13.54782847895161
2002-01-18,769035.0,13.552891761106162
2002-01-19,766232.0,13.549240274928907
2002-01-20,707590.0,13.469620108889782
2002-01-21,778438.0,13.565044626750755
2002-01-22,756951.0,13.537053801130373
2002-01-23,755864.0,13.535616744798878
2002-01-24,734778.0,13.507323691755133
2002-01-25,724412.0,13.493115570287653
2002-01-26,673840.0,13.420747972989245
2002-01-27,639494.0,13.368432517627074
2002-01-28,707708.0,13.469786858224937
2002-01-29,696677.0,13.454077167698768
2002-01-30,685796.0,13.43833548638969
2002-01-31,729020.0,13.499456445456717
2002-02-01,711909.0,13.475705373237084
2002-02-02,687530.0,13.440860743934461
2002-02-03,686370.0,13.439172119907035
2002-02-04,781528.0,13.56900625673671
2002-02-05,838901.0,13.639847980870867
2002-02-06,791281.0,13.581408430188073
2002-02-07,773402.0,13.558554244135957
2002-02-08,739912.0,13.514286539190019
2002-02-09,665362.0,13.408086532429598
2002-02-10,642901.0,13.373746025580427
2002-02-11,740796.0,13.515480562731494
2002-02-12,789807.0,13.579543890798702
2002-02-13,767164.0,13.550455877571364
2002-02-14,796215.0,13.58762452885846
2002-02-15,759953.0,13.541011868244949
2002-02-16,644450.0,13.376152518832926
2002-02-17,645198.0,13.377312525414375
2002-02-18,742299.0,13.517507405940512
2002-02-19,747740.0,13.524810602949074
2002-02-20,712180.0,13.47608596743207
2002-02-21,685299.0,13.437610518357909
2002-02-22,697311.0,13.454986788217331
2002-02-23,662570.0,13.403881491638208
2002-02-24,648815.0,13.382902901121511
2002-02-25,718081.0,13.484337655037885
2002-02-26,703666.0,13.464059090743614
2002-02-27,753861.0,13.532963279862892
2002-02-28,786219.0,13.574990658556539
2002-03-01,756887.0,13.536969247829376
2002-03-02,683816.0,13.43544415456817
2002-03-03,615464.0,13.330131733862789
2002-03-04,774052.0,13.55939433377769
2002-03-05,817351.0,13.613823902144684
2002-03-06,747963.0,13.525108790492528
2002-03-07,702524.0,13.46243484330754
2002-03-08,680682.0,13.430850515719289
2002-03-09,605297.0,13.31347452564744
2002-03-10,618204.0,13.33457377905715
2002-03-11,748522.0,13.52585587452745
2002-03-12,739974.0,13.514370329427964
2002-03-13,727489.0,13.497354157638558
2002-03-14,690593.0,13.445305927773134
2002-03-15,665987.0,13.409025429812498
2002-03-16,596716.0,13.29919656729514
2002-03-17,647746.0,13.381253923183367
2002-03-18,743591.0,13.519246431474846
2002-03-19,719426.0,13.486208950819384
2002-03-20,742596.0,13.517907434230674
2002-03-21,711240.0,13.474765204569884
2002-03-22,786065.0,13.574794765193136
2002-03-23,696246.0,13.453458325144291
2002-03-24,628654.0,13.351336304842093
2002-03-25,706636.0,13.468270960812028
2002-03-26,740223.0,13.514706771134506
2002-03-27,714165.0,13.478869307060952
2002-03-28,707897.0,13.470053881866594
2002-03-29,636759.0,13.364146527017434
2002-03-30,578432.0,13.268076273330896
2002-03-31,551994.0,13.221292455634941
2002-04-01,660494.0,13.400743318876005
2002-04-02,687613.0,13.440981458653004
2002-04-03,681449.0,13.431976692395487
2002-04-04,704041.0,13.464591872080739
2002-04-05,718623.0,13.485092159829007
2002-04-06,666345.0,13.409562833415528
2002-04-07,609001.0,13.31957518872681
2002-04-08,693387.0,13.449343563860022
2002-04-09,681338.0,13.431813790929235
2002-04-10,665711.0,13.408610921412018
2002-04-11,672245.0,13.418378136394265
2002-04-12,673127.0,13.419689298104718
2002-04-13,600343.0,13.30525643752581
2002-04-14,580506.0,13.27165541598398
2002-04-15,707337.0,13.469262493263399
2002-04-16,795878.0,13.587201186748377
2002-04-17,869130.0,13.675247990297184
2002-04-18,873253.0,13.679980598105491
2002-04-19,810692.0,13.605643482911814
2002-04-20,653474.0,13.390058025486002
2002-04-21,579630.0,13.270145247923539
2002-04-22,677322.0,13.425902066588948
2002-04-23,685431.0,13.437803116463163
2002-04-24,685822.0,13.438373397819845
2002-04-25,692133.0,13.447533412664212
2002-04-26,671908.0,13.41787670537107
2002-04-27,593258.0,13.29338465924712
2002-04-28,583363.0,13.276564913081264
2002-04-29,664942.0,13.407455097789164
2002-04-30,678676.0,13.427899120345673
2002-05-01,669293.0,13.413977210345859
2002-05-02,692024.0,13.447375916079322
2002-05-03,660572.0,13.400861405330566
2002-05-04,592177.0,13.291560855665077
2002-05-05,566469.0,13.247177635975843
2002-05-06,669601.0,13.4144372915852
2002-05-07,711207.0,13.47471880565308
2002-05-08,712312.0,13.476271296658737
2002-05-09,682712.0,13.433828380518628
2002-05-10,684371.0,13.436255447221063
2002-05-11,589959.0,13.28780832194183
2002-05-12,584470.0,13.27846073265745
2002-05-13,715500.0,13.480736877978643
2002-05-14,670896.0,13.416369411392797
2002-05-15,672111.0,13.418178784436236
2002-05-16,690924.0,13.445785111172736
2002-05-17,712957.0,13.477176389022398
2002-05-18,602082.0,13.308148927639445
2002-05-19,573478.0,13.259474853874176
2002-05-20,665933.0,13.408944343861346
2002-05-21,678756.0,13.428016989970217
2002-05-22,679662.0,13.429350894754071
2002-05-23,683462.0,13.434926337404566
2002-05-24,708157.0,13.470421099505076
2002-05-25,616304.0,13.331495627274883
2002-05-26,584436.0,13.278402558604089
2002-05-27,626146.0,13.347338849726146
2002-05-28,750204.0,13.5281004485272
2002-05-29,783474.0,13.571493155798752
2002-05-30,807672.0,13.601911314492986
2002-05-31,849477.0,13.652376144977744
2002-06-01,771455.0,13.556033621151613
2002-06-02,694947.0,13.451590862646258
2002-06-03,723630.0,13.492035491013679
2002-06-04,753659.0,13.532695290050208
2002-06-05,872231.0,13.678809576066001
2002-06-06,866047.0,13.671694458589194
